target_chromo	target_window_start	target_window_end	target_id	count	target_strand	sno_id	sno_window_start	sno_window_end	mean_score	min_score	max_score
chr1	42390460	42390476	ENSG00000177181	4	+	ENSG00000252326_SNORD116-25(+)	60	76	0.989	0.984	0.996
chr1	42401308	42401323	ENSG00000177181	3	+	ENSG00000207001_SNORD116-2(+)	6	21	0.986	0.981	0.994
chr1	42410584	42410599	ENSG00000177181	3	+	ENSG00000206609_SNORD116-11(+)	60	75	0.984	0.981	0.99
chr1	56498663	56498678	ENSG00000162407	3	-	ENSG00000206609_SNORD116-11(+)	61	76	0.986	0.982	0.994
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000200661_SNORD116-10(+)	42	57	0.994	0.992	0.995
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000202498_SNORD116(-)	32	47	0.996	0.994	0.998
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000206609_SNORD116-11(+)	32	47	0.992	0.988	0.995
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000206621_SNORD116-14(+)	32	47	0.996	0.994	0.998
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000206656_SNORD116-17(+)	32	47	0.996	0.994	0.998
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000206688_SNORD116-18(+)	32	47	0.996	0.994	0.998
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000207137_SNORD116-13(+)	32	47	0.996	0.994	0.998
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000207174_SNORD116-15(+)	32	47	0.996	0.994	0.998
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000207263_SNORD116-16(+)	32	47	0.996	0.994	0.998
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000207279_SNORD116-24(+)	32	47	0.996	0.994	0.998
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000207375_SNORD116-23(+)	32	47	0.996	0.994	0.998
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000207460_SNORD116-19(+)	32	47	0.996	0.994	0.998
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000275127_SNORD116-22(+)	32	47	0.996	0.994	0.998
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000277785_SNORD116-21(+)	32	47	0.996	0.994	0.998
chr1	56507634	56507649	ENSG00000162407	3	-	ENSG00000278715_SNORD116-20(+)	32	47	0.996	0.994	0.998
chr1	56509482	56509497	ENSG00000162407	3	-	ENSG00000207245_SNORD116-29(+)	62	77	0.99	0.986	0.995
chr1	56516412	56516427	ENSG00000162407	3	-	ENSG00000212553_SNORD116(-)	6	21	0.994	0.989	0.998
chr1	56530470	56530485	ENSG00000162407	3	-	ENSG00000252326_SNORD116-25(+)	59	74	0.99	0.985	0.993
chr1	56532732	56532747	ENSG00000162407	3	-	ENSG00000251815_SNORD116-26(+)	72	87	0.988	0.982	0.996
chr1	56545603	56545618	ENSG00000162407	3	-	ENSG00000207137_SNORD116-13(+)	50	65	0.988	0.983	0.994
chr1	56550862	56550877	ENSG00000162407	3	-	ENSG00000212553_SNORD116(-)	6	21	0.993	0.988	0.996
chr1	56550902	56550917	ENSG00000162407	3	-	ENSG00000207001_SNORD116-2(+)	6	21	0.986	0.98	0.993
chr1	56551632	56551647	ENSG00000162407	3	-	ENSG00000207245_SNORD116-29(+)	62	77	0.988	0.983	0.991
chr1	56551651	56551666	ENSG00000162407	3	-	ENSG00000206609_SNORD116-11(+)	17	32	0.985	0.982	0.989
chr1	56566615	56566630	ENSG00000162407	3	-	ENSG00000251815_SNORD116-26(+)	76	91	0.988	0.984	0.993
chr1	56577983	56577998	ENSG00000162407	3	-	ENSG00000252985_SNORD116(+)	0	15	0.987	0.983	0.994
chr1	56581623	56581638	ENSG00000162407	3	-	ENSG00000252277_SNORD116-30(+)	52	67	0.993	0.989	0.997
chr1	56582242	56582257	ENSG00000162407	3	-	ENSG00000212553_SNORD116(-)	75	90	0.989	0.985	0.996
chr1	56609874	56609889	ENSG00000162407	3	-	ENSG00000252277_SNORD116-30(+)	52	67	0.987	0.983	0.989
chr1	56610912	56610927	ENSG00000162407	3	-	ENSG00000251815_SNORD116-26(+)	34	49	0.992	0.987	0.995
chr1	56616903	56616918	ENSG00000162407	3	-	ENSG00000206609_SNORD116-11(+)	61	76	0.985	0.981	0.99
chr1	56620063	56620078	ENSG00000162407	3	-	ENSG00000206727_SNORD116-9(+)	56	71	0.988	0.981	0.998
chr1	56620063	56620078	ENSG00000162407	3	-	ENSG00000207014_SNORD116-3(+)	56	71	0.988	0.981	0.998
chr1	56620063	56620078	ENSG00000162407	3	-	ENSG00000207093_SNORD116-8(+)	56	71	0.988	0.981	0.998
chr1	56620063	56620078	ENSG00000162407	3	-	ENSG00000207133_SNORD116-7(+)	56	71	0.988	0.981	0.998
chr1	56620063	56620078	ENSG00000162407	3	-	ENSG00000207191_SNORD116-5(+)	56	71	0.988	0.981	0.998
chr1	56623286	56623302	ENSG00000162407	4	-	ENSG00000206727_SNORD116-9(+)	74	90	0.994	0.99	0.997
chr1	56623286	56623302	ENSG00000162407	4	-	ENSG00000207001_SNORD116-2(+)	74	90	0.994	0.99	0.997
chr1	56623286	56623302	ENSG00000162407	4	-	ENSG00000207014_SNORD116-3(+)	74	90	0.994	0.99	0.997
chr1	56623286	56623302	ENSG00000162407	4	-	ENSG00000207063_SNORD116-1(+)	74	90	0.994	0.99	0.997
chr1	56623286	56623302	ENSG00000162407	4	-	ENSG00000207093_SNORD116-8(+)	74	90	0.994	0.99	0.997
chr1	56623286	56623302	ENSG00000162407	4	-	ENSG00000207442_SNORD116-6(+)	75	91	0.994	0.99	0.997
chr1	56623286	56623302	ENSG00000162407	4	-	ENSG00000275529_SNORD116-4(+)	75	91	0.991	0.981	0.997
chr1	56630502	56630517	ENSG00000162407	3	-	ENSG00000207245_SNORD116-29(+)	52	67	0.988	0.985	0.994
chr1	56635934	56635950	ENSG00000162407	4	-	ENSG00000200661_SNORD116-10(+)	32	48	0.991	0.988	0.995
chr1	56639535	56639550	ENSG00000162407	3	-	ENSG00000275529_SNORD116-4(+)	76	91	0.992	0.988	0.994
chr1	56640264	56640279	ENSG00000162407	3	-	ENSG00000278123_SNORD116-28(+)	68	83	0.988	0.981	0.994
chr1	200035294	200035309	ENSG00000116833	3	+	ENSG00000207375_SNORD116-23(+)	61	76	0.987	0.984	0.992
chr1	200037357	200037372	ENSG00000116833	3	+	ENSG00000207093_SNORD116-8(+)	6	21	0.986	0.981	0.989
chr1	200041072	200041090	ENSG00000116833	6	+	ENSG00000252326_SNORD116-25(+)	60	78	0.985	0.98	0.988
chr1	200043890	200043907	ENSG00000116833	5	+	ENSG00000278123_SNORD116-28(+)	46	63	0.988	0.984	0.995
chr1	200049026	200049041	ENSG00000116833	3	+	ENSG00000212553_SNORD116(-)	6	21	0.99	0.983	0.995
chr1	200057017	200057032	ENSG00000116833	3	+	ENSG00000207133_SNORD116-7(+)	74	89	0.989	0.985	0.994
chr1	200057017	200057032	ENSG00000116833	3	+	ENSG00000207191_SNORD116-5(+)	74	89	0.989	0.985	0.994
chr1	200058213	200058228	ENSG00000116833	3	+	ENSG00000251896_SNORD116-27(+)	59	74	0.985	0.982	0.991
chr1	200059255	200059270	ENSG00000116833	3	+	ENSG00000251815_SNORD116-26(+)	67	82	0.986	0.982	0.994
chr1	200059255	200059270	ENSG00000116833	3	+	ENSG00000252326_SNORD116-25(+)	63	78	0.988	0.986	0.99
chr1	200066651	200066667	ENSG00000116833	4	+	ENSG00000252277_SNORD116-30(+)	68	84	0.985	0.981	0.992
chr1	200066652	200066667	ENSG00000116833	3	+	ENSG00000207245_SNORD116-29(+)	66	81	0.987	0.981	0.992
chr1	200076324	200076339	ENSG00000116833	3	+	ENSG00000252985_SNORD116(+)	3	18	0.989	0.988	0.99
chr1	200092600	200092615	ENSG00000116833	3	+	ENSG00000212553_SNORD116(-)	5	20	0.993	0.986	0.999
chr1	200094478	200094493	ENSG00000116833	3	+	ENSG00000212553_SNORD116(-)	75	90	0.993	0.991	0.995
chr1	200095066	200095081	ENSG00000116833	3	+	ENSG00000200661_SNORD116-10(+)	74	89	0.987	0.985	0.991
chr1	200095067	200095084	ENSG00000116833	5	+	ENSG00000206656_SNORD116-17(+)	61	78	0.986	0.981	0.995
chr1	200095067	200095084	ENSG00000116833	5	+	ENSG00000206688_SNORD116-18(+)	61	78	0.986	0.981	0.995
chr1	200095067	200095084	ENSG00000116833	5	+	ENSG00000207174_SNORD116-15(+)	61	78	0.986	0.981	0.995
chr1	200095067	200095084	ENSG00000116833	5	+	ENSG00000207263_SNORD116-16(+)	61	78	0.986	0.981	0.995
chr1	200095067	200095084	ENSG00000116833	5	+	ENSG00000207460_SNORD116-19(+)	61	78	0.986	0.981	0.995
chr1	200095067	200095084	ENSG00000116833	5	+	ENSG00000275127_SNORD116-22(+)	61	78	0.986	0.981	0.995
chr1	200095067	200095084	ENSG00000116833	5	+	ENSG00000277785_SNORD116-21(+)	61	78	0.986	0.981	0.995
chr1	200098758	200098773	ENSG00000116833	3	+	ENSG00000212553_SNORD116(-)	6	21	0.987	0.984	0.99
chr1	200101551	200101566	ENSG00000116833	3	+	ENSG00000251815_SNORD116-26(+)	68	83	0.987	0.981	0.995
chr1	200107455	200107470	ENSG00000116833	3	+	ENSG00000206609_SNORD116-11(+)	61	76	0.988	0.98	0.993
chr1	200107471	200107486	ENSG00000116833	3	+	ENSG00000278123_SNORD116-28(+)	63	78	0.983	0.98	0.987
chr1	200113950	200113965	ENSG00000116833	3	+	ENSG00000252277_SNORD116-30(+)	52	67	0.985	0.98	0.989
chr1	200123623	200123638	ENSG00000116833	3	+	ENSG00000206656_SNORD116-17(+)	67	82	0.985	0.98	0.99
chr1	200123623	200123638	ENSG00000116833	3	+	ENSG00000206688_SNORD116-18(+)	67	82	0.985	0.98	0.99
